Job Name,Company Name,Tag,Level,Location
Lập Trình Viên,Công ty Cổ phần đầu tư Công Nghệ và Thương Mại Softdreams,Chuyên môn Backend Developer,Nhân viên,"- Hồ Chí Minh: Số H.54 đường Huỳnh Tấn Chùa, phường Đông Hưng Thuận, Quận 12 - Hà Nội: nhà khách ATS, số 8 Phạm Hùng, Mễ Trì, Nam Từ Liêm"
Lập Trình Viên,Công ty Cổ phần đầu tư Công Nghệ và Thương Mại Softdreams,IT - Phần mềm,Nhân viên,"- Hồ Chí Minh: Số H.54 đường Huỳnh Tấn Chùa, phường Đông Hưng Thuận, Quận 12 - Hà Nội: nhà khách ATS, số 8 Phạm Hùng, Mễ Trì, Nam Từ Liêm"
Data Engineer,Công ty cổ phần Ecoit,Chuyên môn Data Engineer,Trưởng nhóm,"- Hà Nội: Lê Văn Lương, Cầu Giấy"
Data Engineer,Công ty cổ phần Ecoit,Nghỉ thứ 7,Trưởng nhóm,"- Hà Nội: Lê Văn Lương, Cầu Giấy"
Developer,FPT Software,Chuyên môn Công nghệ thông tin khác,Nhân viên,"- Hồ Chí Minh: F-Town 3, 3 Võ Chí Công, Phường Long Thạnh Mỹ Ho Chi Minh City, Vietnam, Thủ Đức - Hà Nội: Tòa nhà FPT Cầu Giấy, phố Duy Tân, phường Cầu Giấy, Thành phố Hà Nội, Việt Nam, Cầu Giấy"
Developer,FPT Software,Nghỉ thứ 7,Nhân viên,"- Hồ Chí Minh: F-Town 3, 3 Võ Chí Công, Phường Long Thạnh Mỹ Ho Chi Minh City, Vietnam, Thủ Đức - Hà Nội: Tòa nhà FPT Cầu Giấy, phố Duy Tân, phường Cầu Giấy, Thành phố Hà Nội, Việt Nam, Cầu Giấy"
Developer,FPT Software,Tiếng Anh Giao tiếp thành thạo,Nhân viên,"- Hồ Chí Minh: F-Town 3, 3 Võ Chí Công, Phường Long Thạnh Mỹ Ho Chi Minh City, Vietnam, Thủ Đức - Hà Nội: Tòa nhà FPT Cầu Giấy, phố Duy Tân, phường Cầu Giấy, Thành phố Hà Nội, Việt Nam, Cầu Giấy"
Lập Trình Viên,Công ty cổ phần giải pháp MKT,Chuyên môn Backend Developer,Nhân viên,"- Hà Nội: số 35 Lê Văn Thiêm, Thanh Xuân, Thanh Xuân"
Lập Trình Viên,Công ty cổ phần giải pháp MKT,IT - Phần mềm,Nhân viên,"- Hà Nội: số 35 Lê Văn Thiêm, Thanh Xuân, Thanh Xuân"
Unity Developer,CÔNG TY TNHH NGÔI SAO DŨNG CẢM,Chuyên môn Game Developer,Nhân viên,"- Hà Nội: 37 Lê Văn Lương, Thanh Xuân"
Unity Developer,CÔNG TY TNHH NGÔI SAO DŨNG CẢM,IT - Phần mềm,Nhân viên,"- Hà Nội: 37 Lê Văn Lương, Thanh Xuân"
Unity Developer,CÔNG TY TNHH NGÔI SAO DŨNG CẢM,Game,Nhân viên,"- Hà Nội: 37 Lê Văn Lương, Thanh Xuân"
Fullstack Developer,AASC AUDITING FIRM COMPANY LIMITED,Chuyên môn Fullstack Developer,Trưởng nhóm,"- Hà Nội: Hãng Kiểm toán AASC, Số 1, Lê Phụng Hiểu, Tràng Tiền, Hoàn Kiếm"
